Sample_ID,Microbe_TRT,Water_TRT,REP,Height_mm_st,Height_mm_end,Change_height_mm,Stem_ct_st,Stem_ct_end,Aboveground_g,Belowground_g,shoot_to_root,root_to_shoot
PSM_01,Microbe_pos,FRESH,1,540,550,10,4,1,6.78,0.359,18.886,0.052949853
PSM_02,Microbe_pos,FRESH,2,,,,2,,,,,
PSM_03,Microbe_pos,FRESH,3,455,480,25,3,4,2.44,1.097,2.224,0.449590164
PSM_04,Microbe_pos,FRESH,4,405,490,85,2,1,2.22,0.299,7.425,0.134684685
PSM_05,Microbe_pos,FRESH,5,360,390,30,1,1,,,,
PSM_06,Microbe_pos,FRESH,6,780,715,,2,3,4.48,1.916,2.338,0.427678571
PSM_07,Microbe_pos,FRESH,7,487,444,,2,3,1.86,0.785,2.369,0.422043011
PSM_08,Microbe_pos,FRESH,8,562,625,63,1,1,2.82,0.305,9.246,0.108156028
PSM_09,Microbe_pos,FRESH,9,335,395,60,1,2,1.14,0.444,2.568,0.389473684
PSM_10,Microbe_pos,FRESH,10,650,650,,1,1,1.98,0.564,3.511,0.284848485
PSM_11,Microbe_pos,SALT,1,470,580,110,1,1,3.48,0.586,5.939,0.168390805
PSM_12,Microbe_pos,SALT,2,410,610,200,3,3,2.96,1.24,2.387,0.418918919
PSM_13,Microbe_pos,SALT,3,491,501,10,5,4,2.5,0.838,2.983,0.3352
PSM_14,Microbe_pos,SALT,4,406,675,269,2,3,5.44,4.587,1.186,0.843198529
PSM_15,Microbe_pos,SALT,5,419,620,201,2,1,4.64,0.766,6.057,0.165086207
PSM_16,Microbe_pos,SALT,6,469,485,16,1,1,2.92,0.495,5.899,0.169520548
PSM_17,Microbe_pos,SALT,7,495,620,125,2,4,4.4,3.07,1.433,0.697727273
PSM_18,Microbe_pos,SALT,8,501,560,59,1,1,2.92,0.481,6.071,0.164726027
PSM_19,Microbe_pos,SALT,9,,,,2,,,,,
PSM_20,Microbe_pos,SALT,10,330,445,115,2,1,1.24,0.195,6.359,0.157258065
PSM_21,Microbe_neg,FRESH,1,621,620,,4,4,4.22,2.152,1.961,0.509952607
PSM_22,Microbe_neg,FRESH,2,427,505,78,1,1,2.22,0.305,7.279,0.137387387
PSM_23,Microbe_neg,FRESH,3,544,560,16,2,1,3.12,0.389,8.021,0.124679487
PSM_24,Microbe_neg,FRESH,4,383,590,207,2,2,2.46,1.505,1.635,0.611788618
PSM_25,Microbe_neg,FRESH,5,567,,,1,,,,,
PSM_26,Microbe_neg,FRESH,6,409,445,36,2,3,2.4,1.195,2.008,0.497916667
PSM_27,Microbe_neg,FRESH,7,511,645,134,3,1,3.68,1.601,2.299,0.435054348
PSM_28,Microbe_neg,FRESH,8,331,415,84,1,2,1.3,0.74,1.757,0.569230769
PSM_29,Microbe_neg,FRESH,9,377,375,,1,2,0.8,0.183,4.372,0.22875
PSM_30,Microbe_neg,FRESH,10,325,400,75,1,1,,,,
PSM_31,Microbe_neg,SALT,1,449,460,11,1,1,1.82,0.243,7.49,0.133516484
PSM_32,Microbe_neg,SALT,2,412,445,33,3,1,1.04,0.827,1.258,0.795192308
PSM_33,Microbe_neg,SALT,3,,,,1,,,,,
PSM_34,Microbe_neg,SALT,4,391,,,1,,,,,
PSM_35,Microbe_neg,SALT,5,450,,,1,2,,,,
PSM_36,Microbe_neg,SALT,6,271,480,209,2,1,1.94,0.722,2.687,0.372164948
PSM_37,Microbe_neg,SALT,7,496,340,,1,2,1.54,,,
PSM_38,Microbe_neg,SALT,8,324,400,76,2,1,1.98,,,
PSM_39,Microbe_neg,SALT,9,320,470,150,1,1,1.04,0.359,2.897,0.345192308
PSM_40,Microbe_neg,SALT,10,570,610,40,1,1,3.12,0.575,5.426,0.184294872
PSM_41,CONTROL,FRESH,1,248,342,94,1,1,,,,
PSM_42,CONTROL,FRESH,2,610,720,110,2,4,9.8,4.375,2.24,0.446428571
PSM_43,CONTROL,FRESH,3,381,620,239,3,5,4.32,2.021,2.138,0.467824074
PSM_44,CONTROL,FRESH,4,,,0,1,1,,,,
PSM_45,CONTROL,FRESH,5,332,340,8,1,4,1.34,0.813,1.648,0.606716418
PSM_46,CONTROL,FRESH,6,516,560,44,1,1,3.06,0.621,4.928,0.202941176
PSM_47,CONTROL,FRESH,7,402,470,68,1,1,2.74,0.256,10.703,0.093430657
PSM_48,CONTROL,FRESH,8,318,310,,1,1,,,,
PSM_49,CONTROL,FRESH,9,375,650,275,2,3,3.88,1.937,2.003,0.499226804
PSM_50,CONTROL,FRESH,10,497,675,178,2,4,5.78,1.882,3.071,0.325605536
PSM_51,CONTROL,SALT,1,404,,,1,,,,,
PSM_52,CONTROL,SALT,2,315,440,125,2,3,1.72,0.583,2.95,0.338953488
PSM_53,CONTROL,SALT,3,,,,1,1,1.96,0.187,10.481,0.095408163
PSM_54,CONTROL,SALT,4,341,360,19,1,1,2.24,0.357,6.275,0.159375
PSM_55,CONTROL,SALT,5,436,480,44,2,3,3.38,2.048,1.65,0.60591716
PSM_56,CONTROL,SALT,6,487,540,53,1,1,2.5,0.37,6.757,0.148
PSM_57,CONTROL,SALT,7,500,605,105,2,5,2.78,1.546,1.798,0.556115108
PSM_58,CONTROL,SALT,8,486,515,29,2,3,5.18,1.934,2.678,0.373359073
PSM_59,CONTROL,SALT,9,489,630,141,1,3,3.76,1.122,3.351,0.298404255
PSM_60,CONTROL,SALT,10,426,400,,1,1,2.7,0.231,11.688,0.085555556
