ID,Sample_ID,Microbe_TRT,Water_TRT,REP,Date,Date2,Height_mm,Stem_ct
61,PSM_01,Microbe_pos,FRESH,1,6/23/23,23-Jun,540,4
62,PSM_02,Microbe_pos,FRESH,2,6/23/23,23-Jun,,2
63,PSM_03,Microbe_pos,FRESH,3,6/23/23,23-Jun,455,3
64,PSM_04,Microbe_pos,FRESH,4,6/23/23,23-Jun,405,2
65,PSM_05,Microbe_pos,FRESH,5,6/23/23,23-Jun,360,1
66,PSM_06,Microbe_pos,FRESH,6,6/23/23,23-Jun,780,2
67,PSM_07,Microbe_pos,FRESH,7,6/23/23,23-Jun,487,2
68,PSM_08,Microbe_pos,FRESH,8,6/23/23,23-Jun,562,1
69,PSM_09,Microbe_pos,FRESH,9,6/23/23,23-Jun,335,1
70,PSM_10,Microbe_pos,FRESH,10,6/23/23,23-Jun,650,1
71,PSM_11,Microbe_pos,SALT,1,6/23/23,23-Jun,470,1
72,PSM_12,Microbe_pos,SALT,2,6/23/23,23-Jun,410,3
73,PSM_13,Microbe_pos,SALT,3,6/23/23,23-Jun,491,5
74,PSM_14,Microbe_pos,SALT,4,6/23/23,23-Jun,406,2
75,PSM_15,Microbe_pos,SALT,5,6/23/23,23-Jun,419,2
76,PSM_16,Microbe_pos,SALT,6,6/23/23,23-Jun,469,1
77,PSM_17,Microbe_pos,SALT,7,6/23/23,23-Jun,495,2
78,PSM_18,Microbe_pos,SALT,8,6/23/23,23-Jun,501,1
79,PSM_19,Microbe_pos,SALT,9,6/23/23,23-Jun,,2
80,PSM_20,Microbe_pos,SALT,10,6/23/23,23-Jun,330,2
81,PSM_21,Microbe_neg,FRESH,1,6/23/23,23-Jun,621,4
82,PSM_22,Microbe_neg,FRESH,2,6/23/23,23-Jun,427,1
83,PSM_23,Microbe_neg,FRESH,3,6/23/23,23-Jun,544,2
84,PSM_24,Microbe_neg,FRESH,4,6/23/23,23-Jun,383,2
85,PSM_25,Microbe_neg,FRESH,5,6/23/23,23-Jun,567,1
86,PSM_26,Microbe_neg,FRESH,6,6/23/23,23-Jun,409,2
87,PSM_27,Microbe_neg,FRESH,7,6/23/23,23-Jun,511,3
88,PSM_28,Microbe_neg,FRESH,8,6/23/23,23-Jun,331,1
89,PSM_29,Microbe_neg,FRESH,9,6/23/23,23-Jun,377,1
90,PSM_30,Microbe_neg,FRESH,10,6/23/23,23-Jun,325,1
91,PSM_31,Microbe_neg,SALT,1,6/23/23,23-Jun,449,1
92,PSM_32,Microbe_neg,SALT,2,6/23/23,23-Jun,412,3
93,PSM_33,Microbe_neg,SALT,3,6/23/23,23-Jun,,1
